Temperature (C),Apparent Temperature (C),Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Cloud Cover,Pressure (millibars),Humidity
9.472222222,7.388888889,14.1197,251,15.8263,0,1015.13,0.89
9.355555556,7.227777778,14.2646,259,15.8263,0,1015.63,0.86
9.377777778,9.377777778,3.9284,204,14.9569,0,1015.94,0.89
8.288888889,5.944444444,14.1036,269,15.8263,0,1016.41,0.83
8.755555556,6.977777778,11.0446,259,15.8263,0,1016.51,0.83
9.222222222,7.111111111,13.9587,258,14.9569,0,1016.66,0.85
7.733333333,5.522222222,12.3648,259,9.982,0,1016.72,0.95
8.772222222,6.527777778,14.1519,260,9.982,0,1016.84,0.89
10.82222222,10.82222222,11.3183,259,9.982,0,1017.37,0.82
13.77222222,13.77222222,12.5258,279,9.982,0,1017.22,0.72
16.01666667,16.01666667,17.5651,290,11.2056,0,1017.42,0.67
17.14444444,17.14444444,19.7869,316,11.4471,0,1017.74,0.54
17.8,17.8,21.9443,281,11.27,0,1017.59,0.55
17.33333333,17.33333333,20.6885,289,11.27,0,1017.48,0.51
18.87777778,18.87777778,15.3755,262,11.4471,0,1017.17,0.47
18.91111111,18.91111111,10.4006,288,11.27,0,1016.47,0.46
15.38888889,15.38888889,14.4095,251,11.27,0,1016.15,0.6
15.55,15.55,11.1573,230,11.4471,0,1016.17,0.63
14.25555556,14.25555556,8.5169,163,11.2056,0,1015.82,0.69
13.14444444,13.14444444,7.6314,139,11.2056,0,1015.83,0.7
11.55,11.55,7.3899,147,11.0285,0,1015.85,0.77
11.18333333,11.18333333,4.9266,160,9.982,0,1015.77,0.76
10.11666667,10.11666667,6.6493,163,15.8263,0,1015.4,0.79
10.2,10.2,3.9284,152,14.9569,0,1015.51,0.77
10.42222222,10.42222222,16.9855,150,15.8263,0,1014.4,0.62
9.911111111,7.566666667,17.2109,149,15.8263,0,1014.2,0.66
11.18333333,11.18333333,10.8192,163,14.9569,0,1008.71,0.8
7.155555556,5.044444444,11.0768,180,15.8263,0,1014.47,0.79
6.111111111,4.816666667,6.6493,161,15.8263,0,1014.45,0.82
6.788888889,4.272222222,13.0088,135,14.9569,0,1014.49,0.83
7.261111111,5.155555556,11.1734,141,6.1985,0,1014.52,0.85
7.8,5.527777778,12.8156,150,8.05,0,1014.16,0.83
9.872222222,7.933333333,13.7494,160,9.982,0,1014.24,0.78
12.22222222,12.22222222,15.6331,150,9.982,0,1014.25,0.72
